Region,Province,City/Municipality,CQ Status,Requirement#1,Requirement#2,Requirement#3,Requirement#4,Requirement#5,No. of Active Cases,No. of Deaths,No. of Recoveries,No. of Tested,Active 2020,Active 2021,Deaths 2020,Deaths 2021,Recovered 2020,Recovered 2021
NCR,,Manila,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,1878,1116,59788,62782,155,1723,717,399,25504,34284
NCR,,Quezon City,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,3851,1286,92078,97215,204,3647,869,417,38105,53973
NCR,,Caloocan,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,1827,643,32809,35279,66,1761,390,253,14262,18547
NCR,,Las Pinas,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,813,210,16105,17128,50,763,158,52,6760,9345
NCR,,Makati,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,1090,394,30611,32095,83,1007,323,71,13590,17021
NCR,,Malabon,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,363,242,13382,13987,44,319,183,59,6373,7009
NCR,,Mandaluyong,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,759,238,19128,20125,28,731,164,74,7783,11345
NCR,,Marikina,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,689,280,16367,17336,42,647,187,93,6627,9740
NCR,,Muntinlupa,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,554,542,59788,60884,33,521,143,399,25504,34284
NCR,,Navotas,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,187,162,10777,11126,36,151,120,42,5378,5399
NCR,,Paranaque,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,849,246,24923,26018,34,815,159,87,10486,14437
NCR,,Pasay,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,549,251,23155,23955,42,507,167,84,9803,13352
NCR,,Pasig,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,1534,636,31601,33771,67,1467,408,228,12078,19523
NCR,,San Juan,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,303,127,8960,9390,7,296,104,23,3759,5201
NCR,,Taguig,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,887,227,31885,32999,18,869,190,37,13786,18099
NCR,,Valenzuela,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,904,360,19324,20588,28,876,275,85,9095,10229
NCR,,Pateros,GCQ,Filled up Health Declaration Form and Travel Pass,Government Issued ID,Barangay Clearance verifying residence and history of quarantine,Medical Travel Clearance,Proof Of being essential worker if outside NCR Plus Bubble,222,38,4266,4526,5,217,31,7,1947,2319
